País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afeganistão,,,,,,,,,,,,,,11.0,,
África do Sul,,,,,,,,,,,,26.0,4.0,,,117.0
"Alemanha, República Democrática",265.742,225.086,27.715,36.07,8.189,61.699,213.348,10.68,14.012,15.467,10.794,3.66,6.261,2.698,7.63,4.806
Angola,25.721,54.786,33.557,13.889,2.833,1.573,12.182,1.908,7.359,10.17,477.0,345.0,,,4.068,
Anguilla,,,,,,,,,,,,,,,,
Antígua e Barbuda,,,,,,,,,,,37.0,219.0,624.0,805.0,419.0,383.0
Antilhas Holandesas,17.938,8.235,9.81,7.335,9.247,11.281,4.455,6.66,16.641,5.4,,,,,,
Arábia Saudita,,,,,,,,,,,,,,,,124.0
Argentina,,162.0,,13.253,,,20.385,,,,15.711,,1.015,6.0,480.0,4.545
Aruba,,,,900.0,,,450.0,,,,,,,,,
Austrália,218.726,1.014,1.823,3.632,9.345,16.707,6.308,7.437,1.954,1.35,2.055,1.161,1.013,705.0,1.424,2.485
Áustria,,,,,,,,,675.0,,,,,,6.0,
Bahamas,,,3.175,4.529,1.374,581.0,,,,,141.0,791.0,1.212,1.083,1.215,1.348
Bangladesh,,,,,,,,,,,,,3.0,2.0,7.0,
Barbados,,,,,,,,,,,,36.0,143.0,216.0,220.0,58.0
Barein,,,,,,,,,,,,482.0,8.0,302.0,979.0,283.0
Bélgica,3.523,125.962,42.532,11.802,16.132,22.461,151.32,4.473,7.2,2.79,7.497,2.498,3.166,483.0,828.0,95.0
Belice,,,,,,,,,,,,9.0,,,,
Benin,10.35,,,,,,,,5.04,,,9.0,,,,
Bermudas,,,,,,,,,,,,,,,,16.0
Bolívia,3.979,40.463,54.0,12.775,11.868,19.147,12.534,10.674,13.586,9.495,21.566,,9.9,5.85,32.53,21.926
Bósnia-Herzegovina,,,,,,,,,,,,,45.0,,,
Brasil,,,,,,,,,,,,,,31.0,2.504,
Bulgária,,,,,,,,,,117.0,,,,,5.0,
Cabo Verde,,,11.991,600.0,,,,,,,18.0,,,16.0,,
Camarões,,,,,,,,,,1.749,,,0.0,,,
Canadá,20.949,15.664,,28.906,14.304,25.329,35.082,24.547,13.711,6.075,5.308,1.589,1.672,1.172,1.183,11.539
Catar,,,,,,,,,,13.338,,,,1.0,,5.0
"Cayman, Ilhas",,,,,,,,,,,19.0,19.0,123.0,104.0,160.0,438.0
Chile,,1.475,,,8.55,,,,,,11.049,,11.0,26.0,2.094,9.0
China,8.689,,795.0,54.156,87.905,40.929,64.04,47.609,134.106,67.594,30.835,129.852,122.253,61.884,105.395,73.917
Chipre,,,,,,,,,,,279.0,672.0,2.478,1.855,1.521,524.0
Cingapura,1.233,2.419,1.533,911.0,1.212,766.0,541.0,1.116,5.445,,3.298,5.044,4.049,,,
"Cocos (Keeling), Ilhas",,,,,,,,,,,,,,,26.0,
Colômbia,,,,,,8.0,,,,,6.944,897.0,15.66,12.16,8.217,450.0
Comores,,,,,,,,,,,,,9.0,,,
Congo,,,,360.0,,,,,,,,,,,,17.1
